Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,State,BodyType,Doors,Seats,Price,Cylinders,Capacity(Liters),Country
BMW,2018,X2,SUV,2018 BMW X2 Sdrive 18I,USED,Automatic,Front,Premium,6.3,67098,Gold / -,New South Wales,SUV,4,5,34800,3,1.5,Australia
Toyota,2013,RAV4,SUV,2013 Toyota RAV4 GX (2WD),USED,Automatic,Front,Unleaded,7.4,123189,White / Grey,New South Wales,SUV,4,5,19000,4,2.0,Australia
Subaru,2006,Forester,SUV,2006 Subaru Forester X Luxury,USED,Automatic,AWD,Unleaded,9.7,257874,White / -,New South Wales,SUV,4,5,5995,4,2.5,Australia
Toyota,2019,Landcruiser,SUV,2019 Toyota Landcruiser LC200 VX (4X4),USED,Automatic,4WD,Diesel,9.5,68604,Silver / -,New South Wales,SUV,4,7,114999,8,4.5,Australia
Jaguar,2017,F-Pace,SUV,2017 Jaguar F-Pace 20D R-Sport,USED,Automatic,AWD,Diesel,5.3,131983,White / -,New South Wales,SUV,4,5,38995,4,2.0,Australia
Toyota,2021,RAV4,SUV,2021 Toyota RAV4 Edge (awd) Hybrid,USED,Automatic,AWD,Hybrid,4.8,27101,Grey / Grey,New South Wales,SUV,5,5,68990,4,2.5,Australia
Holden,2005,Caprice,Sedan,2005 Holden Caprice,USED,Automatic,Rear,Unleaded,13.5,231786,White / Grey,New South Wales,Sedan,4,5,9950,8,5.7,Australia
Toyota,2015,Kluger,SUV,2015 Toyota Kluger Grande (4X2),USED,Automatic,Front,Unleaded,10.4,129570,White / -,New South Wales,SUV,4,7,26854,6,3.5,Australia
Nissan,2006,X-Trail,SUV,2006 Nissan X-Trail ST-S 40TH Anniversary (4X4),USED,Automatic,4WD,Unleaded,10.0,282208,White / -,New South Wales,SUV,4,5,6980,4,2.5,Australia
BMW,2008,M6,Convertible,2008 BMW M6,USED,Automatic,Rear,Premium,15.2,76000,Silver / -,Victoria,Convertible,2,4,66990,10,5.0,Australia
BMW,2022,420I,Coupe,2022 BMW 420I M Sport,USED,Automatic,Rear,Premium,6.4,5345,White / -,New South Wales,Coupe,2,4,73950,4,2.0,Australia
Ram,2018,1500,Commercial,2018 Ram 1500 Express (4X4),USED,Automatic,4WD,Unleaded,12.2,104897,Grey / -,New South Wales,Commercial,4,5,84950,8,5.7,Australia
MG,2022,HS,Alto North Shore MG,2022 MG HS Excite,NEW,Automatic,Front,Unleaded,7.3,14,Red / Knight Black,New South Wales,SUV,4,5,35990,4,1.5,Australia
Mitsubishi,2021,Outlander,SUV,2021 Mitsubishi Outlander ES 7 Seat (2WD),USED,Automatic,Front,Unleaded,7.2,54096,White / Black,New South Wales,SUV,4,7,28990,4,2.4,Australia
Toyota,2020,HiAce,Commercial,2020 Toyota HiAce Slwb,USED,Automatic,Rear,Diesel,8.4,144622,White / Grey,New South Wales,Commercial,4,2,52990,4,2.8,Australia
